x,y,z,roll,pitch,yaw
"[6899.692593382463, 398.323957537235, 4229.207497648855, 0, 3.9364344383195067, -173.86741581555384]"
"[6701.4036799383275, 417.651550369618, 4246.75602922417, 0, 5.033757084371165, -174.4328590103539]"
"[6503.35445084744, 435.09616807190156, 4268.485920381885, 0, 6.2374684712081105, -174.96625123795874]"
"[6309.987091924629, 473.1792490560856, 4302.526241267107, 0, 9.799540966775778, -168.85837350066694]"
"[6123.770521213565, 530.2087118144796, 4348.034802770416, 0, 13.152449590124458, -162.97261320146308]"
"[5946.704044031489, 604.323075212813, 4404.199950294383, 0, 16.309493481791492, -157.28737391853903]"
"[5769.080452793998, 674.1101517157684, 4464.029907582248, 0, 17.406544492293026, -158.5504808790728]"
"[5591.089856054532, 739.6985162407992, 4527.413769181715, 0, 18.476719617656222, -159.77148962046365]"
"[5411.93493389495, 799.9768935521088, 4592.759244118466, 0, 19.07026035246767, -161.40399759374782]"
"[5243.232615643129, 877.3606596462143, 4667.266160317932, 0, 21.87201662491504, -155.35907269732542]"
"[5073.611406152707, 949.6741818417772, 4744.721952862313, 0, 22.785294118915747, -156.91030495350532]"
"[4902.056139518113, 1015.8073509909968, 4823.431510275717, 0, 23.17543399509133, -158.91875192028144]"
"[4742.0139809609245, 1098.5713865367784, 4910.245229839692, 0, 25.726042110342068, -152.65475397927844]"
"[4580.359618800386, 1175.4235629909786, 4999.47308518051, 0, 26.496252424249228, -154.57309615772397]"
"[4415.874228962604, 1245.2573780603507, 5089.293989221662, 0, 26.6862454001136, -156.99589470679433]"
"[4248.92427583721, 1308.190157952318, 5179.666431738715, 0, 26.863224490278604, -159.34576638627618]"
"[4093.892234996898, 1388.5597815313872, 5277.16407231861, 0, 29.175621712618593, -152.597481301616]"
"[3952.1448947018944, 1483.8567613463495, 5381.212989455884, 0, 31.348659251048606, -146.08699190144446]"
"[3804.641772906639, 1570.4653091010985, 5484.855589367636, 0, 31.21245920012553, -149.5800708304913]"
"[3671.0574776153394, 1671.093080213956, 5594.533698999346, 0, 33.25666776552673, -143.00963507279096]"
"[3530.1854430946373, 1762.373579967908, 5703.26704372242, 0, 32.93359920039992, -147.05807406759615]"
"[3403.729311375114, 1866.950814174581, 5817.601853978164, 0, 34.86704513066278, -140.40978630594068]"
"[3268.357048623021, 1961.5788595967197, 5930.3843149238455, 0, 34.326793854974895, -145.04564571318707]"
"[3147.798924557465, 2068.977313031498, 6048.415289339936, 0, 36.16799916326694, -138.30395233464228]"
"[3017.4599182587262, 2165.0458636326657, 6165.814510046243, 0, 35.94413109942605, -143.6073062593868]"
"[2902.2487646683107, 2273.588578610512, 6288.063719097279, 0, 37.6796547823728, -136.70705576115017]"
"[2774.513823354774, 2371.1307994486506, 6407.098587608952, 0, 36.5250615823447, -142.63356440818006]"
"[2635.57186835876, 2456.89462438066, 6522.596204358897, 0, 35.27406108143092, -148.31447255363634]"
"[2511.568801218753, 2557.4917717315343, 6643.026488277591, 0, 37.02413761535427, -140.94940285065078]"
"[2373.0514895618817, 2643.361097950726, 6758.954971343726, 0, 35.42539596826782, -148.20449553015948]"
"[2249.6686349868105, 2744.3069487462103, 6879.72999526872, 0, 37.147939711335994, -140.71163835459907]"
"[2111.1718251458897, 2831.798036834208, 6994.4642236797135, 0, 35.006624480566366, -147.71861330875188]"
"[1959.4719540118547, 2904.5062217935697, 7102.633854065661, 0, 32.74139490436568, -154.39207996702334]"
"[1822.1172049670643, 2995.314328452656, 7216.157246720367, 0, 34.5842159756971, -146.53047268608546]"
"[1669.5815236704664, 3070.0800797772827, 7321.717411367106, 0, 31.85698538690506, -153.88809877098703]"
"[1531.6358281314187, 3163.035690001603, 7432.759023432461, 0, 33.725046654457834, -146.02568201375314]"
"[1409.6682758491847, 3270.9816789490615, 7548.82615771446, 0, 35.47415544144183, -138.48993194829853]"
"[1266.9801552672297, 3362.3904797388523, 7655.054832670716, 0, 32.0827406506764, -147.35558092573783]"
"[1107.231266923838, 3434.772899741503, 7751.185358247196, 0, 28.728034846129024, -155.62466066028028]"
"[961.9399033200649, 3526.691107095385, 7853.368834499499, 0, 30.724955385441408, -147.68061403372482]"
"[797.1377050052074, 3595.1176359799106, 7943.690734254794, 0, 26.846994700882693, -157.45158051685752]"
"[646.4198389223304, 3684.1623334754786, 8040.41284491904, 0, 28.921479689291193, -149.42524208294637]"
"[511.64691007380225, 3790.512370842848, 8143.008786366783, 0, 30.862511166816677, -141.72284053999792]"
"[353.6096023823918, 3873.4801762852803, 8233.233797520661, 0, 26.81588929906334, -152.30103340019977]"
"[211.0663842702359, 3975.3087425330777, 8329.734440348304, 0, 28.84901889795228, -144.45913325439653]"
"[46.72863769512779, 4052.312638646099, 8413.779101297294, 0, 24.84868645199664, -154.89357584329747]"
"[-102.63694668667057, 4149.60744040056, 8504.463409498017, 0, 26.963419308248508, -146.9203014478921]"
"[-272.3596945773203, 4220.858850112518, 8582.677381795209, 0, 23.021085698206264, -157.2268191824856]"
"[-427.67867636840435, 4313.706301507246, 8667.855810196326, 0, 25.20714616534218, -149.12962544160328]"
"[-566.5595760357857, 4424.725096874453, 8759.435954238543, 0, 27.251727560264563, -141.3618131389958]"
"[-687.683781901111, 4550.540388516354, 8856.901020506195, 0, 29.164934447519595, -133.91168851697574]"
"[-790.3510104247655, 4687.929757307928, 8959.77765308291, 0, 30.956233643777228, -126.76973277471448]"
"[-874.380537504554, 4833.8963151162825, 9067.633123877524, 0, 32.63445874024993, -119.92802587616289]"
"[-940.015526218172, 4985.716800865153, 9180.072389098976, 0, 34.207824822481385, -113.37977988832948]"
"[-987.8335841032371, 5140.96897631074, 9296.735131049923, 0, 35.683950456324965, -107.11896306872896]"
"[-1008.6457745587327, 5311.013263945125, 9399.942654861701, 0, 31.066836137586886, -96.9778840790864]"
"[-1014.3566437508717, 5479.188365885067, 9508.037618021695, 0, 32.71596746560059, -91.94489560611339]"
"[-1006.04462500459, 5644.257419023356, 9620.65696822578, 0, 34.270230417033815, -87.11731742779851]"
"[-970.0861121152236, 5813.906429092017, 9720.287278541009, 0, 29.877782801734398, -78.03280104845568]"
"[-923.6715581841839, 5977.807209644622, 9825.083382083218, 0, 31.599637531832872, -74.18857288966505]"
"[-867.8026448954004, 6135.502755585208, 9934.677083172426, 0, 33.22775527952436, -70.49160911251539]"
"[-786.9128938761022, 6290.951487738718, 10031.074903956416, 0, 28.815394303993468, -62.50920439701536]"
"[-699.843584184323, 6439.421850970349, 10132.935036253919, 0, 30.617258376467298, -59.61083447416159]"
"[-607.3440863786707, 6580.867493603055, 10239.878820953747, 0, 32.324851506475255, -56.81700276785394]"
"[-510.1175717521034, 6715.313202023633, 10351.554048022506, 0, 33.94357091052012, -54.12683931307264]"
"[-408.8188475780657, 6842.844127561287, 10467.633467008913, 0, 35.47847702903837, -51.53963326814968]"
"[-285.4734454161535, 6963.4695125818225, 10568.803760347242, 0, 30.38789094449571, -44.36123891085977]"
"[-160.57090406943678, 7077.810602030086, 10675.224953861109, 0, 32.1478573089398, -42.47230893145568]"
"[-34.50459011230829, 7186.052623822818, 10786.539594423275, 0, 33.819141585611725, -40.64977687122844]"
"[109.1151119170277, 7284.749955262017, 10884.683457989906, 0, 29.38787121870274, -34.49735674468161]"
"[252.17290879960206, 7378.415139375684, 10988.420144056394, 0, 31.243979974368173, -33.21423908846774]"
