x,y,z,roll,pitch,yaw
"[-5690.833945019034, -527.5227004361093, 9807.989960525825, 0, -2.180872284493652, 0.04157124625585292]"
"[-5491.387238883064, -527.8063959255169, 9793.126215089995, 0, -4.262079001331262, 0.08149817844826365]"
"[-5292.575869186135, -528.2224198640369, 9771.35774699246, 0, -6.2485858813293405, 0.11989445622990977]"
"[-5094.594120384457, -528.7644296046427, 9743.021668102283, 0, -8.145095112925384, 0.15685684764368854]"
"[-4897.607105674174, -529.4261517259783, 9708.443088614904, 0, -9.956061020008836, 0.19246823050070846]"
"[-4701.753964923075, -530.201422253009, 9667.934494297895, 0, -11.685704622798022, 0.2268000247792195]"
"[-4507.150772358118, -531.0842180977787, 9621.795377325168, 0, -13.33802718373545, 0.25991417947618484]"
"[-4313.893171803269, -532.0686811873354, 9570.312072650664, 0, -14.916822828737109, 0.2918648067061246]"
"[-4122.058758137004, -533.1491365178227, 9513.757759379268, 0, -16.425690324042282, 0.3226995335694273]"
"[-3931.7092238687655, -534.3201051801831, 9452.392593069248, 0, -17.868044080145324, 0.3524606259452968]"
"[-3742.892289493308, -535.5763132386004, 9386.463940463813, 0, -19.24712444666052, 0.3811859262175902]"
"[-3555.6434357077824, -536.912697203344, 9316.206692909518, 0, -20.566007355314255, 0.4089096378443696]"
"[-3369.987454774471, -538.3244067213548, 9241.843638776927, 0, -21.827613362438726, 0.4356629828105319]"
"[-3185.939837363545, -539.8068050076238, 9163.585878646176, 0, -23.034716137241823, 0.46147475277126004]"
"[-3003.50801017686, -541.3554674554722, 9081.633269938764, 0, -24.189950437649568, 0.48637177068045356]"
"[-2822.692438581949, -542.9661787919928, 8996.174890140197, 0, -25.295819611576245, 0.5103792765961163]"
"[-2643.4876074090894, -544.6349290842008, 8907.389509830322, 0, -26.35470265800129, 0.5335212489389259]"
"[-2465.882892008312, -546.3579088502158, 8815.446068475678, 0, -27.36886087915949, 0.5558206705843981]"
"[-2289.8633306446345, -548.1315034866236, 8720.504147390184, 0, -28.340444152429786, 0.5772997476690553]"
"[-2115.410308340274, -549.9522871868393, 8622.714435479415, 0, -29.271496848093072, 0.5979800877936736]"
"[-1942.5021613592676, -551.817016494766, 8522.219184386624, 0, -30.16396341698253, 0.6178828433416979]"
"[-1771.1147106768265, -553.7226236124264, 8419.152650486978, 0, -31.01969367013838, 0.6370288248449943]"
"[-1601.2217319843076, -555.6662095587857, 8313.641521857566, 0, -31.840447770874484, 0.6554385886817291]"
"[-1432.7953690507486, -557.6450372590291, 8205.805328907769, 0, -32.627900958143, 0.6731325028514047]"
"[-1265.8064965918659, -559.6565246285633, 8095.7568378073765, 0, -33.38364801872507, 0.6901307941164061]"
"[-1100.2250381849572, -561.6982377034991, 7983.602426215319, 0, -34.10920752456233, 0.7064535794097957]"
"[-936.0202442102841, -563.7678838589611, 7869.442441104395, 0, -34.80602585046272, 0.7221208840718669]"
"[-773.1609342929647, -565.8633051479044, 7753.371538709021, 0, -35.47548098645008, 0.7371526491826962]"
"[-611.6157082607357, -567.9824717859296, 7635.479006804085, 0, -36.118886158172955, 0.7515687299967226]"
"[-451.35312921864295, -570.1234758016215, 7515.849069662157, 0, -36.73749326803366, 0.7653888872522829]"
"[-292.34188196836715, -572.2845248669986, 7394.561176140797, 0, -37.33249616903879, 0.7786327729195401]"
"[-134.55090966416074, -574.463936318578, 7271.6902714276885, 0, -37.90503378280246, 0.791319911761011]"
"[22.050468703882046, -576.6601313761819, 7147.307053023846, 0, -38.456193072650244, 0.8034696799074115]"
"[177.49245767823777, -578.8716295638282, 7021.478211578562, 0, -38.98701188237522, 0.8151012814959055]"
"[331.80469947402327, -581.0970433347471, 6894.266657207478, 0, -39.498481650887484, 0.8262337242766723]"
"[485.01620102539766, -583.3350729006675, 6765.7317319302, 0, -39.991550012778916, 0.8368857949659174]"
"[637.1552722636992, -585.5845012639462, 6635.929408858595, 0, -40.46712329470107, 0.847076035008251]"
"[788.2494741215256, -587.8441894498185, 6504.912478753173, 0, -40.9260689174336, 0.8568227173080885]"
"[938.3255749056761, -590.113071934961, 6372.7307245444545, 0, -41.36921771361613, 0.8661438243979279]"
"[1087.4095138120663, -592.3901522676578, 6239.431084389973, 0, -41.797366171342304, 0.8750570284306085]"
"[1235.5263704687586, -594.6744988740891, 6105.057803806657, 0, -42.21127861419275, 0.8835796733126736]"
"[1382.7003394902233, -596.9652410446017, 5969.652577383239, 0, -42.61168932883977, 0.8917287592365265]"
"[1528.954709107716, -599.2615650932368, 5833.254680538554, 0, -42.99930465212704, 0.8995209298200563]"
"[1674.3118430078011, -601.5627106832553, 5695.901091749159, 0, -43.374805030556566, 0.9069724620238351]"
"[1818.7931645638623, -603.8679673108996, 5557.626605623573, 0, -43.73884706646366, 0.9140992589879915]"
"[1962.4191426838604, -606.1766709391243, 5418.463937150196, 0, -44.09206556690395, 0.9209168459138076]"
"[2105.2092785211753, -608.4882007725042, 5278.443817390961, 0, -44.435075613517526, 0.9274403691096205]"
"[2247.182092303182, -610.801976163958, 5137.595080831993, 0, -44.76847467450526, 0.9336845983277342]"
"[2388.3551095227485, -613.1174536432646, 4995.944744534592, 0, -45.0928447835282, 0.9396639325403252]"
"[2528.7448457088267, -615.434124056586, 4853.518079152721, 0, -45.408754815056824, 0.9453924093399889]"
"[2668.366788940524, -617.7515098052727, 4710.338671794343, 0, -45.71676289176758, 0.9508837182078903]"
"[2807.235379189953, -620.0691621710793, 4566.428480599809, 0, -46.01741896743695, 0.9561512179740711]"
