x,y,z,roll,pitch,yaw
"[7471.017998317184, -582.1395275367954, 6552.953510339643, 0, 1.2724405545954627, -179.86822372971014]"
"[7271.212399116904, -581.2299020196735, 6561.722496007067, 0, 2.512934920766354, -179.73915974716266]"
"[7073.530053676347, -559.5278383750082, 6582.952445010379, 0, 6.093412324840056, -173.73501420216968]"
"[6880.583816833381, -518.4150986179243, 6615.83849551518, 0, 9.464138287547977, -167.97137809029272]"
"[6687.752599275565, -479.3311262401174, 6651.7350780592205, 0, 10.339642390669079, -168.5422284677442]"
"[6495.101202229015, -442.20745600227, 6690.558683302473, 0, 11.193205751049051, -169.0928714024467]"
"[6309.418971057298, -386.5716676413293, 6739.820921178453, 0, 14.259334186120215, -163.3202573325517]"
"[6123.454560913599, -334.0319456471568, 6791.365230007666, 0, 14.934909477152878, -164.2236512824751]"
"[5937.290076105893, -284.4964253043542, 6845.114805081791, 0, 15.58977172524783, -165.09971805360257]"
"[5759.798779929577, -217.29958188009886, 6908.213331336114, 0, 18.39055604804652, -159.26371860775646]"
"[5581.38260876405, -154.18639057321508, 6972.900230702942, 0, 18.870756402087174, -160.51920322490665]"
"[5402.155832341336, -95.05969842339161, 7039.095373187434, 0, 19.328007956462088, -161.74234094245472]"
"[5232.895977344256, -18.991247665526956, 7113.692238306993, 0, 21.89978652472266, -155.79998429205867]"
"[5061.857755006654, 52.056127095178994, 7189.178641315779, 0, 22.17470619643169, -157.44254522114818]"
"[4889.194836496841, 118.15917104353845, 7265.453828319384, 0, 22.418937310120526, -159.05093168581976]"
"[4727.4717558131215, 200.67951251195598, 7349.334925225082, 0, 24.797058935234645, -152.96673192681746]"
"[4562.900770401827, 277.2383215483034, 7433.32980316232, 0, 24.83297061439799, -155.05204050410026]"
"[4395.673370699851, 347.8541472237283, 7517.284564510879, 0, 24.82030778991692, -157.10691817979955]"
"[4240.098402162625, 434.6200425154226, 7608.213704938312, 0, 27.042140399557848, -150.8511045017047]"
"[4080.3285000397286, 514.3957787374296, 7698.265969129042, 0, 26.760451266429293, -153.46629019635668]"
"[3916.580093534855, 587.0807285704273, 7787.166798342774, 0, 26.39161854033791, -156.06443270303507]"
"[3764.963228551238, 675.9844823469671, 7882.604992044143, 0, 28.50209988513771, -149.61387083176064]"
"[3607.3807932518393, 756.6405804071501, 7975.676845634887, 0, 27.733475730396986, -152.89507537989414]"
"[3444.058569405811, 828.7182595491142, 8065.847014579477, 0, 26.798286378044683, -156.18708047057302]"
"[3275.6621804064457, 895.0606041059676, 8150.9431337076385, 0, 25.18108733923783, -158.49727764611853]"
"[3101.710292921023, 951.7389047635728, 8231.741098253939, 0, 23.827839714377802, -161.95296843593593]"
"[2922.408173136198, 998.0613273380567, 8307.27243617072, 0, 22.188607947066163, -165.5144551520189]"
"[2740.5111380332587, 1039.9472742552205, 8379.098866345223, 0, 21.046908006740622, -167.03238918948924]"
"[2553.3675633925127, 1069.3117629491858, 8443.247204394042, 0, 18.70778508956301, -171.08249320625438]"
"[2364.1623181525856, 1094.3161507444636, 8503.048172318335, 0, 17.397841296365293, -172.47171043671068]"
"[2170.7040343940143, 1103.7775777608763, 8552.891665815494, 0, 14.431210785506506, -177.2000772823959]"
"[1975.7813563367495, 1108.857935065098, 8597.381434848894, 0, 12.85290628900648, -178.50701236781256]"
"[1779.052450918782, 1095.1122057281448, 8630.679973826507, 0, 9.583959133896318, 176.0031578992501]"
"[1584.1473555398609, 1053.741018364751, 8648.012851587475, 0, 4.9717405633939515, 168.01608047934937]"
"[1393.768384682085, 992.8073376527313, 8654.565256491009, 0, 1.8774616976943839, 162.25194048471758]"
"[1204.539418102357, 928.1015836144868, 8652.206527699806, 0, -0.6757416891998299, 161.12217265308172]"
"[1023.9270016338633, 843.0934986633013, 8639.846086350753, 0, -3.5432636470088696, 154.79523872620837]"
"[858.7644845756503, 732.7183333573969, 8616.636910521143, 0, -6.66395342245542, 146.24589918990193]"
"[707.6679134603334, 605.6519402940401, 8584.637567542537, 0, -9.206705542114424, 139.93745793704798]"
"[561.4018938567841, 476.40254404548926, 8541.038885467051, 0, -12.59120361683927, 138.53426246263433]"
"[436.85802629689374, 328.53906364942316, 8489.80202160531, 0, -14.843772963577797, 130.1070855829859]"
"[330.8677854237601, 169.2085443499307, 8431.665505890924, 0, -16.89882541934827, 123.6327432045714]"
"[246.7254811465262, 0.605665423686844, 8364.634603698727, 0, -19.58193394714554, 116.52177212297146]"
"[187.0635705574268, -176.04577045977936, 8292.283193034056, 0, -21.208141956471472, 108.66178214158595]"
"[147.15665887461736, -355.9122052942617, 8214.466073967147, 0, -22.89761443336914, 102.50955865606615]"
"[131.05696604767968, -537.5690666599287, 8132.358920748606, 0, -24.238495232208, 95.06471694325633]"
"[133.60549894946988, -717.6486579020121, 8045.382798748757, 0, -25.777697151561068, 89.18918945357684]"
"[158.61438531674708, -892.8892809891253, 7952.295315042788, 0, -27.738534697069493, 81.87806468510142]"
"[203.77588428146208, -1062.3724576792324, 7856.191767604154, 0, -28.719221704685513, 75.0793190412194]"
"[263.89789587162477, -1224.6754202319523, 7755.976538876366, 0, -30.07122266617589, 69.67381997272314]"
"[337.76549613834186, -1378.6227437090927, 7651.842974522402, 0, -31.37705832853515, 64.36719662683961]"
"[427.16605689053904, -1522.4951466395785, 7545.502618061646, 0, -32.12050966993692, 58.14368499321496]"
"[527.3413777372525, -1656.1189959630708, 7435.459117639174, 0, -33.38193580149968, 53.14178521926125]"
"[636.9721927428452, -1778.8996799074898, 7321.854592855387, 0, -34.61245209528159, 48.23834898841475]"
"[757.3216647260099, -1889.5241273918075, 7206.623363528598, 0, -35.18063811768454, 42.589018084916844]"
"[884.1429433585072, -1988.622746348724, 7087.8975154294985, 0, -36.414975331810055, 38.0042013580952]"
"[1016.1615704549587, -2076.033193696248, 6965.7071074832365, 0, -37.65837351424459, 33.50881860573752]"
"[1152.197312887728, -2151.6046303702324, 6840.075762907947, 0, -38.914259443912556, 29.053324489639802]"
"[1291.147522800438, -2215.213254215908, 6711.053353468063, 0, -40.17407690271142, 24.59735831635809]"
"[1431.9531532097692, -2266.817683818146, 6578.7251354249765, 0, -41.425152072926714, 20.12758621764944]"
