x,y,z,roll,pitch,yaw
"[-6800.048404911149, -713.8962179452791, 10836.051451361485, 0, -2.2783175869713728, -0.10359856334353074]"
"[-6600.652380098471, -713.1898872198, 10820.536091687653, 0, -4.449293527766553, -0.20296091797573496]"
"[-6401.947963420006, -712.1550672057508, 10797.83182028315, 0, -6.518346532758299, -0.29838432552604455]"
"[-6204.144530626498, -710.8082262514276, 10768.302377441338, 0, -8.490603704652978, -0.3901201750383324]"
"[-6007.418793638041, -709.1656565135949, 10732.298400285958, 0, -10.370918097509135, -0.47838238177368275]"
"[-5811.918463385111, -707.2433600745757, 10690.156667438388, 0, -12.163885002371611, -0.5633541564346783]"
"[-5617.765575407715, -705.0569603288857, 10642.19964765829, 0, -13.873857077638709, -0.6451935071399929]"
"[-5425.059498518158, -702.6216343443112, 10588.735293952435, 0, -15.504958428631639, -0.7240377441537825]"
"[-5233.879648149458, -699.9520625807883, 10530.0570339271, 0, -17.06109772900334, -0.8000071908905495]"
"[-5044.2879264704225, -697.0623929247892, 10466.443915153859, 0, -18.545980466348375, -0.8732082562961592]"
"[-4856.330911182216, -693.9662164832487, 10398.16087117227, 0, -19.96312038543526, -0.9437359880768066]"
"[-4670.0418143012375, -690.6765529927138, 10325.459079602953, 0, -21.31585019468848, -1.0116761997831174]"
"[-4485.4422313193245, -687.2058440476202, 10248.57638881808, 0, -22.607331594738646, -1.0771072449277834]"
"[-4302.543700022077, -683.5659526458845, 10167.737793828475, 0, -23.840564681898165, -1.1401014963373353]"
"[-4121.349087020618, -679.7681677984278, 10083.155945601426, 0, -25.018396774189714, -1.2007265775371319]"
"[-3941.8538187721665, -675.8232131586949, 9995.031681012682, 0, -26.14353070295519, -1.2590463842232498]"
"[-3764.0469725749117, -671.7412588045861, 9903.554563141399, 0, -27.21853260901871, -1.315121927114854]"
"[-3587.912241754888, -667.5319354534922, 9808.903423708829, 0, -28.245839278795287, -1.369012022212488]"
"[-3413.4287880392585, -663.2043505155983, 9711.246901202285, 0, -29.227765052564422, -1.4207738503458396]"
"[-3240.5719929464367, -658.7671054949706, 9610.743969668598, 0, -30.166508334311807, -1.4704634046060772]"
"[-3069.3141189281205, -654.2283143352764, 9507.54445435222, 0, -31.064157730036204, -1.5181358416181607]"
"[-2899.6248899765865, -649.5956223799717, 9401.789531331677, 0, -31.922697839183147, -1.5638457504634748]"
"[-2731.4720004643755, -644.8762256776865, 9293.612209108114, 0, -32.7440147218684, -1.6076473512963492]"
"[-2564.821560112422, -640.0768904142764, 9183.137790750156, 0, -33.529901062762974, -1.649594634221616]"
"[-2399.6384821847537, -635.2039722952015, 9070.484315724541, 0, -34.28206105090234, -1.6897414477478663]"
"[-2235.8868212800353, -630.2634357369494, 8955.76298096303, 0, -35.00211499323465, -1.7281415450525177]"
"[-2073.5300664286633, -625.2608727552764, 8839.078541050309, 0, -35.69160367841585, -1.764848595352599]"
"[-1912.5313946046408, -620.2015214621106, 8720.529687680093, 0, -36.351992506179236, -1.7999161668413033]"
"[-1752.8538892196902, -615.0902841028549, 8600.209408729716, 0, -36.98467539653787, -1.833397686904034]"
"[-1594.4607276785407, -609.9317445822533, 8478.205327457761, 0, -37.590978492108846, -1.865346384653598]"
"[-1437.3153416347293, -604.73018544052, 8354.60002244363, 0, -38.172163665968476, -1.8958152202112142]"
"[-1281.3815531913694, -599.4896042525763, 8229.471328969616, 0, -38.72943184664703, -1.9248568046000185]"
"[-1126.623689937164, -594.2137294323894, 8102.892622601307, 0, -39.26392617114459, -1.9525233136049205]"
