x,y,z,roll,pitch,yaw
"[-3648.1023223502825, 970.306587438727, 10478.779110912852, 0, -3.0410191277821017, 0.3602581507551395]"
"[-3449.193945837041, 967.8409478290265, 10458.057663709973, 0, -5.946929401730878, 0.7101938632325515]"
"[-3251.541418522998, 964.2149610147584, 10427.720711555972, 0, -8.724573546567074, 1.0509880250474462]"
"[-3055.5308452604027, 959.4807256781133, 10388.256269522084, 0, -11.380412679982202, 1.383593607544219]"
"[-2861.491122506555, 953.6920098646783, 10340.141024922881, 0, -13.920551994861848, 1.7087771469161908]"
"[-2669.6999762874707, 946.9035176657696, 10283.837627106805, 0, -16.350764236393697, 2.0271511623848233]"
"[-2480.389532299488, 939.1702923361642, 10219.792697384972, 0, -18.67651122062749, 2.339199874411242]"
"[-2293.7514233190295, 930.5472336092589, 10148.435433323135, 0, -20.902963608271524, 2.6452999106596766]"
"[-2109.9414481206577, 921.0887103485762, 10070.176699910811, 0, -23.035019119595617, 2.945737221420515]"
"[-1929.0838022704447, 910.8482525567222, 9985.408516246584, 0, -25.07731935250404, 3.240721099250523]"
"[-1751.274905126185, 899.8783092286138, 9894.503860481766, 0, -27.03426534550514, 3.530395964681096]"
"[-1576.5868496663647, 888.2300606470985, 9797.81672801498, 0, -28.910032009901233, 3.8148514115766066]"
"[-1405.0705028055622, 875.9532755267253, 9695.682388507481, 0, -30.708581540603024, 4.094130882565683]"
"[-1236.758283966133, 863.0962049577545, 9588.417796373205, 0, -32.433675902161134, 4.368239253751137]"
"[-1071.666649123806, 849.7055064234112, 9476.322117161872, 0, -34.08888847558721, 4.637149539625594]"
"[-909.7983065296675, 835.8261922896573, 9359.677338860383, 0, -35.67761494204481, 4.900808877542158]"
"[-751.1441889880573, 821.5015981248991, 9238.748942736445, 0, -37.20308347130411, 5.159143911838843]"
"[-595.6852060575113, 806.773367020008, 9113.786613073778, 0, -38.668364275789294, 5.412065667688222]"
"[-443.3937979291329, 791.6814467667357, 8985.024969121301, 0, -40.076378584948834, 5.6594739817126145]"
"[-294.23531108988925, 776.2640973323508, 8852.684305906077, 0, -41.42990708941657, 5.901261538752567]"
"[-148.1692142454762, 760.557906555152, 8716.971333335623, 0, -42.731597899899135, 6.137317550713406]"
"[-5.15017139284663, 744.5978123925125, 8578.079905321374, 0, -43.983974061833614, 6.3675311032553985]"
"[134.87101258024077, 728.4171303916534, 8436.191732562818, 0, -45.189440663535365, 6.591794188567609]"
