x,y,z,roll,pitch,yaw
"[4645.3659066695545, 748.5726611996604, 4874.022083822096, 0, 3.8453340557785682, -173.1623003509949]"
"[4447.23503754302, 769.2212839169578, 4891.84883560257, 0, 5.1137748450507825, -174.05027890036183]"
"[4249.274039898573, 787.6173004065613, 4913.598088208804, 0, 6.243048178328812, -174.6908948956868]"
"[4051.563382323686, 803.0210125195373, 4939.5446011623035, 0, 7.454138536173376, -175.54506346424773]"
"[3854.221293132834, 816.3325934155746, 4969.190876608609, 0, 8.52444616837683, -176.14099670897207]"
"[3657.346898513936, 826.753016719439, 5002.8344127130495, 0, 9.684207378363999, -176.9702018959168]"
"[3461.7583300155893, 835.5192667553365, 5043.678809306409, 0, 11.783958469763, -177.4337293059045]"
"[3267.061138460407, 840.773202725429, 5089.125478682138, 0, 13.134241835252016, -178.45423903195325]"
"[3073.4147263671207, 842.5021027990105, 5139.106254865913, 0, 14.471824428851807, -179.488469502568]"
"[2880.978977034579, 840.6755330190745, 5193.559409243436, 0, 15.799138071193035, 179.45617382970337]"
"[2689.9169659697504, 835.2417802264563, 5252.4303040765535, 0, 17.118832862509493, 178.37096236908855]"
"[2500.3982827619975, 826.1232491593323, 5315.6720711800845, 0, 18.433805518194003, 177.24538636085552]"
"[2312.6032237453387, 813.2104039259269, 5383.246283990207, 0, 19.747220757871613, 176.06651616449406]"
"[2125.679118520158, 799.2136231359151, 5452.984860210848, 0, 20.407386711542234, 175.71771309308684]"
"[1939.6489980513825, 784.100335689004, 5524.848500676106, 0, 21.05833040442045, 175.35542943949184]"
"[1754.5369552666646, 767.8289115735447, 5598.799649235973, 0, 21.700554101421883, 174.97658881056205]"
"[1570.3687683089775, 750.3469831045508, 5674.802682660458, 0, 22.334622147237987, 174.57751925407976]"
"[1387.6063092226213, 730.3991613684015, 5753.542557925097, 0, 23.18488215337062, 173.77104218946485]"
"[1206.3313842471912, 707.9516830725156, 5835.001211813484, 0, 24.03491525275911, 172.94093425654728]"
"[1026.6353023910297, 682.9508994211254, 5919.16937077137, 0, 24.887681762036582, 172.07938845192064]"
"[848.6223382045324, 655.318724264823, 6006.0477194991645, 0, 25.746595897670147, 171.17664289668934]"
"[671.6744861955107, 626.3028961457603, 6094.634058107092, 0, 26.291084832123715, 170.68754242829104]"
"[495.852737141807, 595.6992679927614, 6184.912131322959, 0, 26.832923441592555, 170.12599056999238]"
"[322.18184770222604, 561.7751567535086, 6278.1193029241385, 0, 27.777281619510365, 168.947266857057]"
"[154.88795413574252, 506.61597922221216, 6372.830539371758, 0, 28.26538475950295, 161.75187669881518]"
"[-11.154853831552884, 450.4200690873871, 6469.120754899893, 0, 28.780217136840957, 161.3020060942027]"
"[-175.71102514469877, 392.58336568600885, 6566.978724541714, 0, 29.29391604073678, 160.63490976851165]"
"[-338.4203276660479, 332.19475078881936, 6666.371370465922, 0, 29.799291442034534, 159.6378837966743]"
"[-496.5555341143538, 266.5276629747966, 6769.720729726525, 0, 31.114284915688714, 157.44888555218657]"
"[-651.2275945628908, 194.09328438679228, 6873.787124471292, 0, 31.354522272466596, 154.9058658626466]"
"[-800.6210281259542, 109.50096410997836, 6976.382160210959, 0, 30.862208900250575, 150.47978857568793]"
"[-942.2913829781373, 6.346434675531071, 7072.759821591667, 0, 28.80880310207488, 143.94048898203366]"
"[-1070.529552900209, -111.19937880742462, 7171.440891243693, 0, 29.5646520632896, 137.49097137216773]"
"[-1183.054806023089, -244.0951775441731, 7269.811486889716, 0, 29.462445382800293, 130.25518698545443]"
"[-1277.9778739204517, -391.8834156618527, 7365.457960191269, 0, 28.570018591722537, 122.71227159840048]"
"[-1342.091211796511, -552.531656434292, 7465.865244006292, 0, 30.134820104922888, 111.75651904695874]"
"[-1385.9349769107434, -723.4119146770588, 7560.086587679015, 0, 28.10616002560962, 104.39030228301135]"
"[-1400.0373630200359, -896.644417002368, 7659.039216972714, 0, 29.65413316159571, 94.65403045853166]"
"[-1393.1783341608743, -1074.6610072004019, 7749.940522449448, 0, 27.033187828192005, 87.79346913246148]"
"[-1360.2167000683082, -1247.127418680576, 7845.694726477777, 0, 28.605166126951406, 79.18015719332809]"
"[-1303.8028738719818, -1410.75686436668, 7945.908920673754, 0, 30.070880200352132, 70.9775612080203]"
"[-1228.3031212735732, -1572.4172993864363, 8036.273134313902, 0, 26.86058195643786, 64.9661656728006]"
"[-1134.4167455131749, -1721.202457204268, 8131.39581961925, 0, 28.399297682951037, 57.7472643233684]"
"[-1024.9176736026102, -1855.7653488730266, 8230.908539592461, 0, 29.838939549124493, 50.863406573129396]"
"[-899.6087277125123, -1984.1363215169076, 8319.33116940167, 0, 26.238786276366792, 45.69155135014973]"
"[-763.3576742341772, -2097.02280040896, 8412.563638581662, 0, 27.78547304726842, 39.6423669266453]"
"[-618.4447734514681, -2194.2734537817532, 8510.24967445837, 0, 29.23745394643653, 33.86545435685818]"
"[-461.05183489111215, -2283.177288221563, 8595.827540248742, 0, 25.333686047269353, 29.460052671873743]"
"[-298.62484571654744, -2356.7927530299175, 8686.371653965403, 0, 26.91836724311284, 24.38107353079514]"
"[-126.07280082929816, -2421.1900765610703, 8764.3381629757, 0, 22.944080268462084, 20.46583672677496]"
"[48.66520197522496, -2471.202777171746, 8847.796896212632, 0, 24.663842844745542, 15.971935148191273]"
"[231.41492351096545, -2511.664196959867, 8918.262581388744, 0, 20.62979834236329, 12.48409569056706]"
"[414.18755149414164, -2538.928438096777, 8994.753284192104, 0, 22.485742002323054, 8.484265700229445]"
"[603.1306320805944, -2556.7021543654605, 9057.877030187581, 0, 18.398169990379454, 5.373951521175111]"
"[790.5067050854418, -2562.5715213298067, 9127.560297883061, 0, 20.390481856921397, 1.7941459994411924]"
"[975.5065675776509, -2557.257804664314, 9203.368050079407, 0, 22.27415400701362, -1.6452436831670258]"
"[1165.2514397495158, -2543.0887389268287, 9264.980719722991, 0, 17.942557555625562, -4.270596094510687]"
"[1351.66791874833, -2519.030876304098, 9333.318963801328, 0, 19.9799458934484, -7.353625942590985]"
"[1534.2233032629492, -2485.794179209979, 9407.94371539886, 0, 21.908397006170077, -10.318459342949971]"
"[1720.3504263574605, -2441.357917275859, 9466.099649523272, 0, 16.90463952556542, -13.427532312958823]"
"[1908.5790644958001, -2389.5972934675806, 9509.58318212544, 0, 12.557405046422554, -15.375614036749877]"
