x,y,z,roll,pitch,yaw
"[8810.196935316962, 54.11143180596032, 5044.704505343817, 0, 3.904477277425283, -174.50516704949854]"
"[8611.63755000622, 71.71322774489121, 5060.963265590048, 0, 4.662937339274994, -174.93411376440605]"
"[8413.181106968537, 87.8662242864624, 5079.781366438935, 0, 5.398975067393722, -175.34677313604215]"
"[8214.866525148354, 102.6240545815678, 5101.077682610211, 0, 6.112533488592769, -175.74410663979515]"
"[8020.598340151709, 136.29711370055082, 5134.633567156421, 0, 9.658735023960672, -170.16646264922437]"
"[7832.5547879711985, 187.43957214016248, 5179.623248507687, 0, 12.999844314239908, -164.78520182950575]"
"[7652.516695568791, 254.46191449362644, 5235.24959936371, 0, 16.148733562099363, -159.5813333510585]"
"[7481.897642973056, 335.6945041209349, 5300.750784648978, 0, 19.11746510120353, -154.54064571076023]"
"[7321.776529766577, 429.43913229245504, 5375.404477086136, 0, 21.917333592194083, -149.65270141485684]"
"[7172.931098073245, 534.0104122889361, 5458.5301943096465, 0, 24.558907781972035, -144.91006080419905]"
"[7035.871410788847, 647.7685674434608, 5549.490208916847, 0, 27.052071315271473, -140.30766973733776]"
"[6910.8725903003715, 769.1449024276943, 5647.689395177656, 0, 29.406062289098838, -135.84236649538104]"
"[6778.219719828676, 883.6076710618628, 5744.133630631209, 0, 28.830571362041873, -139.20993097947454]"
"[6657.928671519793, 1005.5253270120886, 5847.410679699975, 0, 31.0900917382679, -134.615222945881]"
"[6550.020826518236, 1133.3828510230776, 5956.993299402642, 0, 33.22396027837209, -130.1633437727944]"
"[6432.083105061548, 1254.4002217227533, 6063.976895558977, 0, 32.33834924341825, -134.26161382927648]"
"[6326.800929510006, 1381.4544265919767, 6176.994117857987, 0, 34.40827125851061, -129.64649887274658]"
"[6234.002505433697, 1513.0864805702795, 6295.57512331167, 0, 36.36342989893513, -125.18320451435864]"
"[6128.782285711939, 1638.2770374054855, 6410.709956620257, 0, 35.14685817132759, -130.04639620629797]"
"[6036.366775828988, 1768.3808162604737, 6531.260279144613, 0, 37.06722261628333, -125.38699647587403]"
"[5956.437109673841, 1901.9865061418861, 6656.802176930328, 0, 38.88133422889157, -120.88999305938509]"
"[5861.708042615589, 2029.8121287399251, 6777.992168520792, 0, 37.297231156256686, -126.54142042372473]"
"[5779.8860852471025, 2161.6883400780853, 6904.142206869904, 0, 39.105492034035876, -121.8173329668683]"
"[5710.5404161348815, 2296.236865520883, 7034.862796206654, 0, 40.81380267035502, -117.26636285944566]"
"[5624.042594370223, 2425.8676809100343, 7160.218205070863, 0, 38.812736970240834, -123.71370771124685]"
"[5550.573992926034, 2558.909505596397, 7290.226810501265, 0, 40.54484601475937, -118.90843881188479]"
