x,y,z,roll,pitch,yaw
"[-5107.864207882743, -679.7729040437545, 9063.876102207108, 0, -2.0959100527321675, -0.251921533077319]"
"[-4908.3827175900815, -678.0532725491586, 9049.58701902653, 0, -4.097011347518968, -0.49390640851018813]"
"[-4709.497256768096, -675.5308671150902, 9028.6535304388, 0, -6.008006869561784, -0.7266264554720342]"
"[-4511.390794523425, -672.243562925192, 9001.395077656884, 0, -7.833351883830643, -0.9506573870107534]"
"[-4314.21924040799, -668.228755328646, 8968.119567628235, 0, -9.577268507854056, -1.1664955858685395]"
"[-4118.1143840490095, -663.5231395420897, 8929.122869146273, 0, -11.243759266786235, -1.3745717560331376]"
"[-3923.186568394458, -658.1625388793243, 8884.68852831984, 0, -12.836619721768747, -1.5752621062091003]"
"[-3729.5271134747322, -652.181773429228, 8835.087661746507, 0, -14.35945025238901, -1.7688975694823088]"
"[-3537.210508141251, -645.6145623526592, 8780.578992237137, 0, -15.815667065171798, -1.9557714449283212]"
"[-3346.296387279452, -638.4934540307584, 8721.408997545283, 0, -17.208512492328296, -2.1361457592485427]"
"[-3156.831311651312, -630.8497791987127, 8657.812147369468, 0, -18.541064638265482, -2.310256581048294]"
"[-2968.8503669135853, -622.7136229647771, 8590.011208015734, 0, -19.816246425487403, -2.478318471038399]"
"[-2782.3785975695887, -614.1138122643673, 8518.217597620125, 0, -21.036834086380242, -2.6405282139558577]"
"[-2597.4322907113524, -605.077915850493, 8442.631777815768, 0, -22.20546514286435, -2.797067949286515]"
"[-2414.02012344605, -595.6322543892451, 8363.443670257851, 0, -23.324645911932656, -2.9481077957096606]"
"[-2232.1441869136256, -585.8019186249171, 8280.83308855542, 0, -24.39675857160294, -3.093808046946434]"
"[-2051.8008988193337, -575.6107939142379, 8194.970177956777, 0, -25.424067818729284, -3.2343210031833407]"
"[-1872.98181544546, -565.0815897121919, 8106.015856644099, 0, -26.408727147391925, -3.3697924915693265]"
"[-1695.6743531846307, -554.2358728307719, 8014.122253754927, 0, -27.352784774170033, -3.500363120783974]"
"[-1519.862428762053, -543.0941034933718, 7919.433140300096, 0, -28.25818923445937, -3.6261693078441155]"
"[-1345.5270264913206, -531.6756733770676, 7822.084350021115, 0, -29.12679467209365, -3.747344109776992]"
"[-1172.6467001409862, -519.9989449775888, 7722.20418795233, 0, -29.960365842836705, -3.864017888251427]"
