x,y,z,roll,pitch,yaw
"[-3888.4612467397933, 319.99072317018386, 9399.501368122048, 0, -2.4499737207995214, 0.3842694055599573]"
"[-3689.177685491397, 317.36414792537363, 9382.793186933179, 0, -4.792126497373563, 0.7551197994342066]"
"[-3490.7195136323935, 313.5063367840585, 9358.309083609181, 0, -7.031818144933451, 1.1136274193315328]"
"[-3293.3419977133995, 308.47333245365854, 9326.422016057313, 0, -9.174122735724602, 1.4606903339212498]"
"[-3097.2636360425577, 302.3213922990483, 9287.49349544822, 0, -11.223846218641038, 1.7970601815878222]"
"[-2902.6700442633246, 295.1064976166679, 9241.87245498245, 0, -13.185542711885754, 2.1233676995589548]"
"[-2709.7175129022794, 286.8839595347344, 9189.89447398226, 0, -15.063529599638777, 2.4401434726965414]"
"[-2518.5362517947324, 277.708105881816, 9131.881293487926, 0, -16.861901547842386, 2.747834958924838]"
"[-2329.23333880508, 267.6320357582992, 9068.14056910784, 0, -18.584543540583116, 3.0468205815542855]"
"[-2141.895391704272, 256.70743058064807, 8998.965815203203, 0, -20.235143026809876, 3.337421485363515]"
"[-1956.5909827107466, 244.98441210176404, 8924.636501703722, 0, -21.81720125699594, 3.6199114115255053]"
"[-1773.3728152516387, 232.51143938733844, 8845.418271070923, 0, -23.33404388059396, 3.8945250414986967]"
"[-1592.2796821215059, 219.33523798550047, 8761.563248265309, 0, -24.788830867548416, 4.161465081603976]"
"[-1413.3382235341455, 205.50075559705982, 8673.310421139648, 0, -26.184565810552407, 4.420908300990883]"
"[-1236.5645026782336, 191.05113946322442, 8580.88607257099, 0, -27.524104659023536, 4.673010690963132]"
"[-1061.9654153755303, 176.02773145991708, 8484.504248947294, 0, -28.8101639308093, 4.917911879523675]"
"[-889.5399493589057, 160.47007754251788, 8384.367252419856, 0, -30.045328443315082, 5.155738908854965]"
"[-719.2803075795434, 144.41594873903858, 8280.666146690339, 0, -31.23205860199453, 5.386609463320278]"
"[-551.1729088500872, 127.90137135804127, 8173.581268083027, 0, -32.372697280882, 5.610634620011567]"
"[-385.1992780559623, 110.96066447265886, 8063.282735312917, 0, -33.46947632702214, 5.827921181797001]"
"[-221.33683713643893, 93.62648307471991, 7949.930952745729, 0, -34.52452271821362, 6.038573643421706]"
"[-59.55960706072108, 75.92986557257524, 7833.677103097594, 0, -35.539864401394134, 6.242695833868114]"
"[100.16116989113925, 57.900284540807945, 7714.6636264753515, 0, -36.517435837220766, 6.440392272413704]"
"[257.85647908397664, 39.56569982649464, 7593.024683443406, 0, -37.459083274919394, 6.631769271268945]"
"[413.559046047293, 20.952613281006553, 7468.886600445946, 0, -38.366569780274276, 6.816935814055859]"
