x,y,z,roll,pitch,yaw
"[-2946.4196236285065, 856.3381721724289, 9720.867101502554, 0, -3.3435343016482637, 0.19361121254846442]"
"[-2747.7252075904144, 855.0106878939938, 9698.090648293768, 0, -6.539160074053535, 0.3827893929045822]"
"[-2550.5324597675876, 853.0549191751969, 9664.756054028925, 0, -9.594434581416579, 0.5682441188481548]"
"[-2355.3024716948494, 850.4973494919726, 9621.411958762857, 0, -12.516483467101525, 0.7505484589597312]"
"[-2162.427493658771, 847.3658607883756, 9568.596841361858, 0, -15.312031270251126, 0.9301638052387031]"
"[-1972.2381682958971, 843.6892708475121, 9506.83517684072, 0, -17.98742915334006, 1.1074588546970512]"
"[-1785.0102375793092, 839.4969558555239, 9436.634561069968, 0, -20.548680170326033, 1.2827243375198782]"
"[-1600.9707160946418, 834.8185442903477, 9358.483636590974, 0, -23.001462359408215, 1.4561846174835666]"
"[-1420.3035378804836, 829.6836703225025, 9272.850676899814, 0, -25.3511499057373, 1.6280069708715275]"
"[-1243.1546942512186, 824.1217766755469, 9180.182707569122, 0, -27.602832586629688, 1.7983091298820815]"
"[-1069.6368868851143, 818.1619584070254, 9080.905061076743, 0, -29.761333683985807, 1.967165522045532]"
"[-899.8337248120522, 811.8328403737543, 8975.42127836627, 0, -31.831226524917415, 2.134612527034202]"
"[-733.8034963843481, 805.162482268071, 8864.113284174538, 0, -33.816849791396265, 2.3006529924816124]"
"[-571.5825483444419, 798.1783060789132, 8747.341775235102, 0, -35.72232172250149, 2.4652601917526638]"
"[-413.18830409546, 790.9070416642554, 8625.446770814879, 0, -37.55155331810946, 2.628381362782629]"
"[-258.6219525318845, 783.3746868374445, 8498.748283866185, 0, -39.30826064025827, 2.789940933869551]"
"[-107.87083752781564, 775.606478984836, 8367.54707856765, 0, -40.99597629761275, 2.949843516722103]"
"[39.089423413992535, 767.6268757592692, 8232.125486359177, 0, -42.61806018919202, 3.1079767270835204]"
"[182.29306464418494, 759.4595428449871, 8092.748257905309, 0, -44.17770957558018, 3.2642138774317218]"
"[321.78251716733473, 751.1273471747211, 7949.663432888453, 0, -45.67796853904136, 3.41841657357827]"
"[457.60694987045633, 742.6523543075838, 7803.103213262603, 0, -47.12173688815229, 3.5704372367325448]"
"[589.8209861843359, 734.0558289547479, 7653.284828698324, 0, -48.51177855762676, 3.7201215642500114]"
"[718.4835770134994, 725.3582378751865, 7500.411385515606, 0, -49.85072954983702, 3.867310935482027]"
"[843.657012511863, 716.5792545616956, 7344.672692515059, 0, -51.14110546105981, 4.011844763633981]"
"[965.4060569163269, 707.7377653029105, 7186.246058850493, 0, -52.385308632628515, 4.153562790141112]"
"[1083.7971921703875, 698.851876344314, 7025.297060498002, 0, -53.58563496491624, 4.292307314665892]"
"[1198.897957469881, 689.9389219839887, 6861.9802730202855, 0, -54.744280430380726, 4.427925351327457]"
"[1310.7763731424495, 681.015473530303, 6696.439969244165, 0, -55.86334732076323, 4.560270700142977]"
"[1419.5004384329327, 672.0973491216336, 6528.810781201801, 0, -56.94485026295613, 4.689205921867807]"
"[1525.1376938119129, 663.1996244650944, 6359.218326263697, 0, -57.99072203806815, 4.814604204460833]"
"[1627.754839358278, 654.3366445942412, 6187.779797841044, 0, -59.002819238869485, 4.9363511102887685]"
"[1727.417401593452, 645.5220367768059, 6014.604521378886, 0, -59.98292780216909, 5.054346194956988]"
"[1824.189441869333, 636.7687247244374, 5839.7944766189885, 0, -60.93276845487091, 5.168504491385025]"
"[1918.1333000379452, 628.0889442687388, 5663.444787297923, 0, -61.85400211562434, 5.278757856548768]"
"[2009.3093676614453, 619.494260672982, 5485.644179575103, 0, -62.74823529832705, 5.385056183376227]"
"[2097.775885458354, 610.995587747938, 5306.4754105683305, 0, -63.61702556952757, 5.487368486907926]"
