x,y,z,roll,pitch,yaw
"[-1902.37857715995, 441.9964466720665, 9902.405986094951, 0, -3.001269159335004, -0.034751592465077814]"
"[-1703.4288863981633, 442.2346258671796, 9881.937380464366, 0, -5.8741085008607845, -0.06859350258788792]"
"[-1505.6909749066413, 442.5854002779057, 9851.94412595133, 0, -8.624972010242397, -0.10163894248988145]"
"[-1309.5412402203087, 443.04407751208316, 9812.891965989604, 0, -11.25995918996435, -0.13398040949668305]"
"[-1115.3025795510996, 443.6057969406566, 9765.23667066248, 0, -13.784838919343287, -0.1656933933621261]"
"[-923.2499152757288, 444.26559521018856, 9709.421450417682, 0, -16.205071290230247, -0.19683927629641498]"
"[-733.6153047212457, 445.01845978522044, 9645.87502900167, 0, -18.5258276459026, -0.22746763336390194]"
"[-546.592637966861, 445.85937242936296, 9575.010263525424, 0, -20.752009020458146, -0.25761808234876565]"
"[-362.3419353011263, 446.78334425095204, 9497.223215482347, 0, -22.888263150416446, -0.28732179164312194]"
"[-180.9932614557078, 447.7854436968956, 9412.892590610902, 0, -24.939000208476724, -0.3166027261468519]"
"[-2.6502773316415755, 448.86081867050416, 9322.379477846014, 0, -26.908407390872267, -0.34547869074423776]"
"[172.60654791611012, 450.0047137705185, 9226.027328372953, 0, -28.80046247399415, -0.37396221611818764]"
"[344.71704051112874, 451.2124834950488, 9124.162125133611, 0, -30.618946442515245, -0.40206132079506374]"
"[513.6387172320212, 452.4796021222371, 9017.092701187337, 0, -32.36745527978179, -0.42978017524117995]"
"[679.3444483009717, 453.80167086620355, 8905.111172241082, 0, -34.04941100146762, -0.4571196877723205]"
"[841.8203649099628, 455.17442280971005, 8788.493454572756, 0, -35.668072005169286, -0.48407802744509904]"
"[1001.0639893500901, 456.5937260317992, 8667.49984460291, 0, -37.22654280156352, -0.5106510955901619]"
"[1157.0825669283277, 458.055585277556, 8542.375640637374, 0, -38.727783186794824, -0.5368329549494782]"
"[1309.8915801756577, 459.5561424564629, 8413.351790909775, 0, -40.17461691078289, -0.5626162232975387]"
"[1459.513427211692, 461.09167620414826, 8280.645555089317, 0, -41.569739892038015, -0.5879924368175071]"
"[1605.9762474901406, 462.65860069843666, 8144.461168966267, 0, -42.91572802627351, -0.6129523872649169]"
"[1749.3128794750328, 464.2534638834112, 8004.990504155889, 0, -44.215044633556076, -0.6374864360076143]"
"[1889.55993606697, 465.8729452237636, 7862.413716432619, 0, -45.47004758690986, -0.6615848073256735]"
"[2026.7569847964285, 467.51385308521867, 7716.899877773484, 0, -46.68299616418144, -0.6852378628482074]"
"[2160.9458209169884, 469.17312181456276, 7568.60758839911, 0, -47.85605766460027, -0.7084363586660359]"
"[2292.169822558968, 470.84780857416195, 7417.685566091817, 0, -48.991313831877406, -0.7311716864697799]"
"[2420.4733780395177, 472.5350899702785, 7264.273210877057, 0, -50.090767126952336, -0.7534361000095834]"
"[2545.9013762668274, 474.2322585015071, 7108.501143805754, 0, -51.15634689573815, -0.7752229282499429]"
"[2668.498751922568, 475.93671884283634, 6950.491719095485, 0, -52.18991548059163, -0.796526776803114]"
"[2788.3100777572336, 477.6459839718238, 6790.359509298522, 0, -53.19327432896991, -0.8173437195778692]"
"[2905.3791968863616, 479.35767113583256, 6628.211763481991, 0, -54.168170159129645, -0.837671483098472]"
"[3019.7488884293516, 481.06949765292615, 6464.1488386441815, 0, -55.11630125118196, -0.8575096266676668]"
"[3131.460560182733, 482.77927653361667, 6298.26460476331, 0, -56.03932394287954, -0.8768597225240861]"
"[3240.553962259555, 484.4849119060087, 6130.646823990262, 0, -56.93885942390944, -0.8957255414659161]"
"[3347.066915745933, 486.18439422284024, 5961.37750456272, 0, -57.816500941183556, -0.9141132512118241]"
"[3451.035050409551, 487.8757952254403, 5790.533230039937, 0, -58.67382155199928, -0.9320316372501912]"
"[3552.4915453213503, 489.5572626367691, 5618.185464439229, 0, -59.51238259382718, -0.949492359402236]"
"[3651.4668658897203, 491.2270145537841, 5444.400833798531, 0, -60.33374308141722, -0.9665102622847327]"
"[3747.9884902125536, 492.8833335090479, 5269.241384594097, 0, -61.139470297465124, -0.983103765086388]"
"[3842.0806167648134, 494.5245601740991, 5092.764819305934, 0, -61.93115191728209, -0.9992953668424412]"
"[3933.763844170557, 496.149086685181, 4915.024709240475, 0, -62.710410107974155, -1.015112319828837]"
"[4023.0548120344583, 497.75534959021024, 4736.070684481579, 0, -63.478918179015835, -1.030587549440614]"
"[4109.965789350317, 499.34182245331397, 4555.948600533338, 0, -64.23842054916527, -1.0457609404043386]"
"[4194.504193603547, 500.907008226929, 4374.700680821658, 0, -64.99075705736873, -1.0606811781860854]"
"[4276.672018959004, 502.44943164477905, 4192.365633706861, 0, -65.7378930174815, -1.0754084534602397]"
"[4356.465145302745, 503.96763216961455, 4008.978741984857, 0, -66.4819569521539, -1.0900185513536478]"
"[4433.872490514416, 505.4601585899416, 3824.5719219586827, 0, -67.22528872500357, -1.1046092503699012]"
"[4508.874954829828, 506.92556751651483, 3639.173747956636, 0, -67.97050195899432, -1.1193107605198855]"
"[4581.444086352491, 508.36243053183034, 3452.809436526787, 0, -68.7205664083471, -1.1343036497664098]"
"[4651.540367161724, 509.7693605224446, 3265.50078225605, 0, -69.47891872319552, -1.149851706729664]"
"[4719.110974096471, 511.14508228983857, 3077.2660339546574, 0, -70.24961447594312, -1.1663675389820551]"
"[4784.08679672227, 512.488614074768, 2888.1196953793533, 0, -71.03754160304209, -1.1845595751899145]"
"[4846.37837764977, 513.7997684015655, 2698.072228098455, 0, -71.84872778813714, -1.2058213427610514]"
"[4905.870234835194, 515.0808247576915, 2507.1296246197094, 0, -72.69079610407526, -1.233576904528036]"
"[4962.412575307405, 516.3453070479512, 2315.292806416159, 0, -73.5736631976167, -1.2811182487525399]"
"[5015.775497785645, 518.6322170356067, 2122.55679901928, 0, -74.51063429635676, -2.453954076572587]"
"[5052.956516867158, 553.2957906375674, 1929.1246184360025, 0, -75.27589379502271, -42.99316822056861]"
"[5061.111516017611, 601.4861473603278, 1735.1885838581313, 0, -75.8549511159899, -80.39513333722958]"
"[5041.509590527655, 644.8224403405437, 1540.926569486255, 0, -76.24228879905499, -114.33824950261098]"
"[5003.162195622537, 671.9142099686599, 1346.5158873661408, 0, -76.42253535877586, -144.7594569339096]"
"[4956.451515603589, 678.6740072861107, 1152.1646138627382, 0, -76.35022754640265, -171.7655328624968]"
"[4909.488200150344, 665.6311072533152, 958.1946941319369, 0, -75.89472880117103, 164.47868136453155]"
"[4866.566930340277, 634.4680136386118, 765.3563520050333, 0, -74.62079254579787, 144.01838204256586]"
"[4826.452321661303, 582.4952572306393, 576.439304701487, 0, -70.83642233099442, 127.66236600055382]"
"[4790.482626015319, 502.7676024496744, 396.5791310713514, 0, -64.06632110511907, 114.28285291467279]"
"[4767.962854605788, 395.51595629207844, 229.27717563702805, 0, -56.773375349895375, 101.85820614168594]"
"[4767.919361457505, 266.29525326912847, 76.62722307037765, 0, -49.751533505202815, 90.01928463227603]"
"[4796.069472825378, 123.26502504694326, -60.30314260753153, 0, -43.20823157485791, 78.86579054399762]"
"[4796.069472825378, 123.26502504694326, -60.30314260753153, 0, -43.20823157485791, 78.86579054399762]"
"[4796.069472825378, 123.26502504694326, -60.30314260753153, 0, -43.20823157485791, 78.86579054399762]"
"[4796.069472825378, 123.26502504694326, -60.30314260753153, 0, -43.20823157485791, 78.86579054399762]"
