x,y,z,roll,pitch,yaw
"[-4646.831933253257, 908.7212613348474, 10460.133089814604, 0, -2.7700173096663763, 0.01914650935196785]"
"[-4447.724372523262, 908.5904430288482, 10441.26083116011, 0, -5.414559473364041, 0.03764465654041345]"
"[-4249.641788946742, 908.3983853488236, 10413.633793723959, 0, -7.939951905396666, 0.055553046822749405]"
"[-4052.8975850042175, 908.147991954358, 10377.694184402622, 0, -10.352172373654454, 0.07291943898503923]"
"[-3857.757875393888, 907.8422069080952, 10333.871813075848, 0, -12.65687342804203, 0.08978274224016779]"
"[-3664.446601617892, 907.4839820815978, 10282.582212706224, 0, -14.85940301336202, 0.10617460006549286]"
"[-3473.1502208779334, 907.0762508935203, 10224.225306764672, 0, -16.964823457174383, 0.12212066316337393]"
"[-3284.0219829955927, 906.6219073384061, 10159.184525654244, 0, -18.977928998950485, 0.13764162544560404]"
"[-3097.1858144559314, 906.1237894253262, 10087.82628854062, 0, -20.903262006100103, 0.15275407712853073]"
"[-2912.7398321080736, 905.5846662824734, 10010.499779877868, 0, -22.745128004644755, 0.16747121494380385]"
"[-2730.7595110127977, 905.0072283004176, 9927.536961100797, 0, -24.50760963699919, 0.1818034393316688]"
"[-2551.300531777285, 904.3940797860452, 9839.25276760815, 0, -26.1945796461311, 0.19575886110031973]"
"[-2374.401332754677, 903.7477336837593, 9745.94544944995, 0, -27.809712973981295, 0.20934373460283617]"
"[-2200.085391940648, 903.0706079924191, 9647.897021217172, 0, -29.356498052177248, 0.2225628304521281]"
"[-2028.3632624490112, 902.3650235675375, 9545.373792661509, 0, -30.838247354536644, 0.2354197577814974]"
"[-1859.2343842304376, 901.6332030499908, 9438.626956683776, 0, -32.25810727344578, 0.247917243794396]"
"[-1692.6886933169421, 900.87727070623, 9327.893215645021, 0, -33.61906737574907, 0.2600573766394489]"
"[-1528.7080484081246, 900.0992530018747, 9213.395430584611, 0, -34.923969088166004, 0.2718418163568598]"
"[-1367.2674931212127, 899.3010797616049, 9095.34328097211, 0, -36.17551385734561, 0.283271977668252]"
"[-1208.33637074768, 898.4845857942912, 8973.933925160087, 0, -37.37627082537893, 0.2943491876484666]"
"[-1051.8793069242477, 897.6515128840598, 8849.352653817736, 0, -38.52868405783555, 0.3050748207683019]"
"[-897.857074255559, 896.8035120661174, 8721.773530375203, 0, -39.63507935810112, 0.31545041338868285]"
"[-746.2273516326018, 895.9421461212035, 8591.360013951506, 0, -40.69767069891132, 0.32547775948628677]"
"[-596.945389782513, 895.0688922349765, 8458.26556142309, 0, -41.71856629945333, 0.33515898917256]"
"[-449.9645934650846, 894.1851447788777, 8322.634206256489, 0, -42.69977437419932, 0.34449663141223047]"
"[-305.23702969954473, 893.2922181774098, 8184.601112512359, 0, -43.64320857771142, 0.35349366223793266]"
"[-162.71387046033337, 892.3913498336136, 8044.293103059222, 0, -44.550693167987966, 0.36215353968180025]"
"[-22.345777419506106, 891.4837030900865, 7901.829161539023, 0, -45.423967909482755, 0.370480226592792]"
"[115.91676446798346, 890.5703702073863, 7757.320908024369, 0, -46.264692735705545, 0.3784782024721461]"
"[252.12315844617743, 889.6523753452851, 7610.873048617376, 0, -47.07445219029124, 0.38615246543242726]"
"[386.32244705336905, 888.7306775352495, 7462.583799477492, 0, -47.8547596645977, 0.39350852536329445]"
"[518.563097947818, 887.8061736348609, 7312.545285943298, 0, -48.6070614492564, 0.40055238936568155]"
"[648.8928200915801, 886.879701256768, 7160.843917541881, 0, -49.33274061665654, 0.40729054049288177]"
"[777.3584063749457, 885.9520416662808, 7007.560739767686, 0, -50.03312075110013, 0.41372991081020494]"
"[904.0055991674485, 885.0239226429622, 6852.77176356829, 0, -50.70946954333531, 0.41987784975332487]"
"[1028.8789756374647, 884.0960213026121, 6696.548273503319, 0, -51.36300226637905, 0.42574208872862923]"
"[1152.0218499946359, 883.1689668769294, 6538.957115549753, 0, -51.99488515000715, 0.4313307028568102]"
"[1273.4761900808028, 882.2433434489402, 6380.060965516144, 0, -52.60623867205937, 0.43665207071400697]"
"[1393.282545968425, 881.3196926430271, 6219.918579003025, 0, -53.19814078583349, 0.44171483287377566]"
"[1511.47998842262, 880.3985162691272, 6058.585023809521, 0, -53.771630104395165, 0.4465278499990611]"
"[1628.10605524541, 879.4802789214264, 5896.111895638677, 0, -54.32770906470241, 0.4511001611774453]"
"[1743.1967036492608, 878.5654105326846, 5732.54751789764, 0, -54.8673470971574, 0.45544094313672834]"
"[1856.7862669014585, 877.6543088862225, 5567.937126324189, 0, -55.39148382971273, 0.4595594709230089]"
"[1968.9074135403011, 876.7473420886159, 5402.323039098436, 0, -55.901032360187166, 0.46346508057173613]"
"[2079.5911074862975, 875.8448510073204, 5235.744813017363, 0, -56.396882636266824, 0.46716713425579254]"
"[2188.8665673529504, 874.9471516788235, 5068.239386219163, 0, -56.87990499015821, 0.47067498835595023]"
"[2296.761223196759, 874.0545376945688, 4899.841207842373, 0, -57.35095388452331, 0.4739979648708808]"
"[2403.300668826869, 873.167282573869, 4730.582354888739, 0, -57.81087193885038, 0.4771453265698486]"
"[2508.5086076101143, 872.2856421354392, 4560.49263642487, 0, -58.26049432173575, 0.48012625629583944]"
