x,y,z,roll,pitch,yaw
"[-5069.559155315183, -616.5032648620951, 10975.883063624606, 0, -2.5787262849227517, 0.10175970616857659]"
"[-4870.3329695239645, -617.1976464234968, 10958.320469017592, 0, -5.037801457153103, 0.19969750251656096]"
"[-4671.993837834577, -618.2157922531278, 10932.619258544748, 0, -7.383271322455195, 0.29411718238126106]"
"[-4474.811239837695, -619.5417115803921, 10899.193744560102, 0, -9.620851694944909, 0.38526947714169424]"
"[-4279.013057659747, -621.1593789510619, 10858.445063500603, 0, -11.755949077190952, 0.4733619238514559]"
"[-4084.790170168405, -623.052884620947, 10810.75979731907, 0, -13.793679738111159, 0.5585667466932246]"
"[-3892.3006449869, -625.2065541518978, 10756.509042458421, 0, -15.738887348759766, 0.6410272239087546]"
"[-3701.6735465359907, -627.6050423538891, 10696.04784340868, 0, -17.596159316510974, 0.7208628846968759]"
"[-3513.0123818328125, -630.2334059108989, 10629.71492067907, 0, -19.369841941265356, 0.7981737906412972]"
"[-3326.3982077966293, -633.0771583446601, 10557.832634120497, 0, -21.064054502739857, 0.8730440918049273]"
"[-3141.8924247181694, -636.1223103902083, 10480.707132114845, 0, -22.68270237531075, 0.9455450009403831]"
"[-2959.539280637296, -639.3553983648974, 10398.628645372166, 0, -24.22948925597368, 1.0157372950877042]"
"[-2779.368110874373, -642.7635026952079, 10311.871891104076, 0, -25.707928581521994, 1.0836734285856195]"
"[-2601.3953360529467, -646.3342584122436, 10220.69655931981, 0, -27.121354202816075, 1.1493993227339139]"
"[-2425.6262407729755, -650.0558591279587, 10125.347858056639, 0, -28.472930376846612, 1.2129558832701641]"
"[-2252.056553749369, -653.9170557518783, 10026.057098631813, 0, -29.765661131033934, 1.2743802862249083]"
"[-2080.6738487986368, -657.9071509955211, 9923.0423055984, 0, -31.002399048726524, 1.3337070647021092]"
"[-1911.458784595011, -662.0159905330113, 9816.508839099753, 0, -32.18585352005657, 1.3909690230455232]"
"[-1744.3861996685457, -666.2339515364182, 9706.650019831737, 0, -33.318598498086594, 1.4461980002164727]"
"[-1579.4260777110724, -670.5519291788394, 9593.64774891272, 0, -34.403079796460666, 1.499425500667247]"
"[-1416.5443969116072, -674.9613215934139, 9477.673116693102, 0, -35.441621961488934, 1.5506832082784887]"
"[-1255.70387577376, -679.4540136891153, 9358.886995964125, 0, -36.43643474868871, 1.6000033968351146]"
"[-1096.8646266812732, -684.0223601515875, 9237.440616197853, 0, -37.389619231229595, 1.647419248888645]"
"[-939.9847273773954, -688.6591678971073, 9113.476116407242, 0, -38.303173565442734, 1.6929650935756626]"
"[-785.0207195097627, -693.3576781979847, 8987.127074991991, 0, -39.17899843651961, 1.7366765729415694]"
"[-631.9280424631055, -698.1115486566393, 8858.519015561991, 0, -40.01890220571285, 1.7785907454862155]"
"[-480.66140985426944, -702.9148351717773, 8727.76988823092, 0, -40.82460577873435, 1.8187461349502079]"
"[-331.1751352935996, -707.7619740122973, 8594.990526268932, 0, -41.59774721360325, 1.8571827317576615]"
"[-183.4234133190035, -712.6477640917565, 8460.28507831362, 0, -42.339886084906894, 1.8939419539928866]"
"[-37.36056077896524, -717.5673495175341, 8323.751416577381, 0, -43.052507620288374, 1.9290665742932047]"
"[107.05877662664179, -722.5162024735217, 8185.481521669829, 0, -43.73702662394925, 1.9626006185723295]"
"[249.8794484489553, -727.490106482619, 8045.561844786514, 0, -44.39479120104493, 1.9945892420381583]"
"[391.14565049389796, -732.4851400850187, 7904.073648108811, 0, -45.027086296044324, 2.0250785875289345]"
"[530.9007993945735, -737.4976609597859, 7761.09332432183, 0, -45.6351370574168, 2.0541156307591666]"
"[669.1874277849141, -742.5242905102365, 7616.692696193714, 0, -46.22011204039334, 2.0817480166402578]"
"[806.0470974329407, -747.5618989277931, 7470.939297175838, 0, -46.783126259021245, 2.108023890421037]"
"[941.5203279818112, -752.6075907441191, 7323.896633983323, 0, -47.32524409829071, 2.132991726981925]"
"[1075.6465392041434, -757.6586908771978, 7175.624432102499, 0, -47.8474820967581, 2.156700161215686]"
"[1208.464004903003, -762.712731173482, 7026.178865149123, 0, -48.35081160982518, 2.1791978220403854]"
"[1340.0098167942117, -767.7674374451597, 6875.612768970768, 0, -48.836161363661645, 2.2005331722191177]"
"[1470.3198568817572, -772.8207169988607, 6723.975841350434, 0, -49.30441990968635, 2.220754355809136]"
"[1599.4287769932184, -777.8706466496793, 6571.314828127758, 0, -49.75643798956014, 2.239909054732707]"
"[1727.3699842771973, -782.91546121214, 6417.67369651012, 0, -50.19303082080449, 2.258044355655606]"
"[1854.175631581336, -787.9535424576335, 6263.093796299445, 0, -50.614980313462844, 2.2752066280784575]"
"[1979.8766117289676, -792.9834085258349, 6107.614009712054, 0, -51.02303722868977, 2.291441414292619]"
"[2104.5025547958226, -798.0037037756524, 5951.270890418938, 0, -51.41792329081749, 2.3067933316269738]"
"[2228.0818275562406, -803.0131890592855, 5794.098792382424, 0, -51.80033326535116, 2.3213059872156445]"
"[2350.641534321473, -808.0107324009552, 5636.1299890123655, 0, -52.17093701653501, 2.335021905349638]"
"[2472.207518430945, -812.995300059755, 5477.394783110365, 0, -52.53038155967984, 2.34798246733804]"
"[2592.8043636804914, -817.9659479537934, 5317.9216080138285, 0, -52.879293125437705, 2.3602278636968386]"
"[2712.455394978756, -822.9218134202931, 5157.737120291891, 0, -53.21827925576782, 2.3717970584059986]"
"[2831.1826775127847, -827.8621072834795, 4996.866284281661, 0, -53.54793095461439, 2.3827277649286125]"
"[2949.0070136742042, -832.786106198828, 4835.332448684278, 0, -53.86882492051579, 2.393056433670949]"
"[3065.9479369452433, -837.6931452383931, 4673.15741536416, 0, -54.181525893760174, 2.402818250580854]"
"[3182.0237018649045, -842.582610677326, 4510.361500409156, 0, -54.48658915766507, 2.4120471466375184]"
"[3297.2512690839258, -847.4539329360481, 4346.963587410741, 0, -54.78456324259167, 2.420775818083123]"
"[3411.646284364628, -852.3065796255609, 4182.9811728077275, 0, -55.075992893100334, 2.4290357573941157]"
"[3525.223050177139, -857.1400486345818, 4018.4304029981977, 0, -55.36142237417485, 2.436857295198626]"
"[3637.9944882712925, -861.9538611860036, 3853.3261027546964, 0, -55.64139921303938, 2.444269653634325]"
"[3749.9720912422554, -866.7475547757396, 3687.681794266161, 0, -55.91647850068329, 2.4513010120341105]"
"[3861.1658606273454, -871.5206758881934, 3521.5097058614556, 0, -56.18722791455998, 2.4579785863644976]"
"[3971.5842284287237, -876.2727723577274, 3354.8207691223192, 0, -56.45423367506918, 2.4643287245826717]"
"[4081.2339580899747, -881.003385212285, 3187.624602637454, 0, -56.718107719348204, 2.470377021112801]"
"[4190.120019774088, -885.7120397903503, 3019.9294800399616, 0, -56.97949647558967, 2.476148455109881]"
"[4298.245433162758, -890.3982358607143, 2851.7422791419162, 0, -57.23909176337645, 2.481667559299421]"
"[4405.611068721124, -895.0614363885704, 2683.068407834043, 0, -57.497644551956455, 2.4869586293060055]"
"[4512.215395138801, -899.7010544698079, 2513.9117008044554, 0, -57.75598261341736, 2.4920459880922525]"
"[4618.054155980893, -904.3164377800803, 2344.274278811813, 0, -58.015033567661206, 2.496954327398099]"
"[4723.1199516783245, -908.9068496275991, 2174.15635884588, 0, -58.27585552533105, 2.501709159593458]"
"[4827.401692558706, -913.4714453114879, 2003.5559983972585, 0, -58.539678656361446, 2.5063374321746617]"
