x,y,z,roll,pitch,yaw
"[6130.336612913664, -515.5312740073155, 5417.5615316075855, 0, 1.4089921445618458, -179.56475770011397]"
"[5930.59431939358, -512.528701107134, 5427.256929243352, 0, 2.7786158513828587, -179.13878129931393]"
"[5731.158469204108, -508.0751394285852, 5441.592460191931, 0, 4.110351855492138, -178.7207521334086]"
"[5532.134603462624, -502.20090247889004, 5460.4337501046375, 0, 5.405647884373378, -178.3093921880774]"
"[5333.619606230544, -494.93364730389055, 5483.649754846385, 0, 6.665923072850271, -177.90344709557567]"
"[5135.702452520337, -486.29817488412215, 5511.112982685397, 0, 7.892572404167466, -177.50166926279758]"
"[4938.464929378988, -476.31621857654824, 5542.699688960974, 0, 9.086971294285986, -177.10280058681113]"
"[4741.982334474726, -465.00621337929203, 5578.2900483596295, 0, 10.25048044516648, -176.70555416655475]"
"[4546.324157286287, -452.38303768812887, 5617.768309906558, 0, 11.384451107712849, -176.3085943332861]"
"[4351.554748881726, -438.4577176574503, 5661.022939852729, 0, 12.490230917431536, -175.91051418752247]"
"[4157.733987453815, -423.2370821276073, 5707.946757830089, 0, 13.569170497645503, -175.50980963066607]"
"[3964.917948363303, -406.7233531217365, 5758.437071988023, 0, 14.622631068974336, -175.10484859073415]"
"[3773.1595895922715, -388.9136528371202, 5812.39581935314, 0, 15.651993363467131, -174.69383372609204]"
"[3582.5094664676294, -369.79940239915504, 5869.72971842475, 0, 16.658668222320657, -174.27475629104575]"
"[3393.0164936380097, -349.3655797212438, 5930.350442100409, 0, 17.64410936433055, -173.845337972583]"
"[3204.7287781216223, -327.58979257154306, 5994.174820512038, 0, 18.60982895697455, -173.40295621588385]"
"[3017.694555633573, -304.4411067569562, 6061.125085361018, 0, 19.557416814251994, -172.94454661724217]"
"[2831.9632746870066, -279.8785456098602, 6131.12917001215, 0, 20.488564296995882, -172.46647299682812]"
"[2647.586891310238, -253.84914150566692, 6204.121083090816, 0, 21.40509431086339, -171.96435112794248]"
"[2464.621465230326, -226.28536595838375, 6280.041377722589, 0, 22.308999176876505, -171.43280467875098]"
"[2283.1291921853485, -197.10167996265596, 6358.837743734418, 0, 23.202488529747754, -170.86511972296728]"
