x,y,z,roll,pitch,yaw
"[-3227.302842615263, -26.90771811211413, 10929.612098201935, 0, -3.2995098503404994, -0.046517947426742534]"
"[-3028.568538158698, -26.58934699974019, 10907.149354113106, 0, -6.448708670695844, -0.09178740179292144]"
"[-2831.286285483686, -26.121158410881915, 10874.293706517636, 0, -9.455308421597497, -0.1359736085428936]"
"[-2635.8979120697936, -25.510026066107724, 10831.596984723912, 0, -12.326579171391492, -0.17920815493360748]"
"[-2442.77701403152, -24.763114656128717, 10779.599284157093, 0, -15.069379945066002, -0.22159516924555303]"
"[-2252.2363167315225, -23.88776692764831, 10718.825305854, 0, -17.69018679429155, -0.26321609153139247]"
"[-2064.5344733887623, -22.891411912200624, 10649.781658192444, 0, -20.19511840983882, -0.30413340699894165]"
"[-1879.882299876164, -21.781490790650402, 10572.95495129844, 0, -22.58995955390659, -0.3443936173063669]"
"[-1698.4484578190538, -20.565397419891138, 10488.810539283682, 0, -24.880182552745133, -0.3840296465153771]"
"[-1520.3646077470405, -19.25043100449809, 10397.791787331927, 0, -27.07096705830432, -0.4230628241983235]"
"[-1345.7300604044258, -17.843758787051325, 10300.31975981781, 0, -29.167218260624356, -0.461504550058255]"
"[-1174.6159581761692, -16.35238696623946, 10196.793242303167, 0, -31.173583709605268, -0.49935771716285104]"
"[-1007.0690205636515, -14.783138339560308, 10087.589024640045, 0, -33.09446888503403, -0.536617951099564]"
"[-843.1148882398347, -13.142635414011668, 9973.062384751784, 0, -34.93405163680738, -0.5732747077670587]"
"[-682.7610998121701, -11.437287939180258, 9853.547723195614, 0, -36.69629560273545, -0.6093122616051159]"
"[-525.999734322339, -9.673283997364981, 9729.359307552862, 0, -38.38496269878618, -0.644710607794765]"
"[-372.8097509439846, -7.856583938936313, 9600.792093250626, 0, -40.00362476583128, -0.6794462956181743]"
"[-223.15905547727766, -5.992916581609441, 9468.122593778018, 0, -41.55567444762512, -0.7134932052566213]"
"[-77.0063212132886, -4.087777202794607, 9331.609778587988, 0, -43.044335366676414, -0.7468232764756044]"
"[65.69741035157597, -2.1464269473741253, 9191.495981420654, 0, -44.47267165767628, -0.7794071946516641]"
"[205.00732556023522, -0.17389335147581075, 9048.00780547654, 0, -45.84359691207615, -0.8112150372591975]"
"[340.9836100443962, 1.82502825190755, 8901.357014921883, 0, -47.15988258213501, -0.8422168821301177]"
"[473.6903761743657, 3.8457726255060245, 8751.741404721937, 0, -48.4241658881724, -0.87238337743146]"
"[603.1947289460736, 5.884001954180105, 8599.345642857032, 0, -49.63895726878012, -0.9016862723065582]"
"[729.5659544620971, 7.935602704647567, 8444.342080653001, 0, -50.8066474102869, -0.9300989064409981]"
"[852.8748167558407, 9.996682089085777, 8286.891528314834, 0, -51.92951388877395, -0.9575966564029048]"
"[973.1929501714594, 12.063564180378163, 8127.143993843087, 0, -53.009727455352674, -0.9841573364330423]"
"[1090.5923358487237, 14.132785709251317, 7965.239384381634, 0, -54.04935799319837, -1.009761551392884]"
"[1205.1448520762278, 16.20109156050603, 7801.308169730937, 0, -55.05038017295047, -1.034392999789948]"
"[1316.9218893741279, 18.265429976283702, 7635.472008294992, 0, -56.01467883151651, -1.0580387251623171]"
"[1425.9940221558247, 20.32294746820706, 7467.844336139639, 0, -56.944054098035124, -1.0806893145918937]"
"[1532.4307297040207, 22.37098343673319, 7298.530920147369, 0, -57.840226289752046, -1.102339043702311]"
"[1636.3001599877673, 24.40706449465588, 7127.63037647809, 0, -58.70484059984008, -1.1229859681563656]"
"[1737.668930550764, 26.428898491940053, 6955.234655702213, 0, -59.539471598752684, -1.14263196237337]"
"[1836.6019613241604, 28.434368240553184, 6781.429496074895, 0, -60.34562757055556, -1.1612827069136669]"
"[1933.162334765885, 30.421524940305893, 6606.29484647909, 0, -61.12475470585464, -1.178947626701256]"
"[2027.4111792089006, 32.38858130958908, 6429.90526058923, 0, -61.87824117346642, -1.1956397829532677]"
"[2119.4075717179467, 34.33390442799307, 6252.330263803966, 0, -62.607421093908435, -1.2113757223360062]"
"[2209.208457112669, 36.25600830083924, 6073.634694471579, 0, -63.31357843919041, -1.226175287453236]"
"[2296.8685801181764, 38.15354615839558, 5893.87902089008, 0, -63.997950885350285, -1.24006139327805]"
"[2382.440427854683, 40.025302504757725, 5713.119635509569, 0, -64.66173364682444, -1.2530597745532894]"
"[2465.9741800776496, 41.87018493284672, 5531.409127700091, 0, -65.30608332522509, -1.2651987094991684]"
"[2547.517664729283, 43.68721572250868, 5348.7965363763315, 0, -65.93212180962905, -1.2765087253767224]"
"[2627.1163164604573, 45.47552323811238, 5165.327583692754, 0, -66.54094027133893, -1.287022291562599]"
"[2704.8131358265937, 47.234333140137316, 4981.0448909402485, 0, -67.13360330362684, -1.296773505799865]"
"[2780.648646847162, 48.96295942182546, 4795.988177688803, 0, -67.71115326670942, -1.3057977792112427]"
